smarthome_id	VendorName	Vendor Websites	Policy Link On Website
232	hikvision	http://www.hikvision.com/	https://us.hikvision.com/en/support-resources/privacy-policy
233	hiposmart	https://www.hiposmart.com/	https://www.hiposmart.com/privacy-policy
234	hombli	https://www.hombli.com/	https://www.hombli.com/privacy/
235	home8alarm	https://www.home8alarm.com/	https://www.home8alarm.com/privacy
236	hom	https://hom.ee/	https://hom.ee/privacy
237	apple	https://www.apple.com/ios/home/	https://www.apple.com/privacy/
238	homematic-ip	https://www.homematic-ip.com/en/smart-home.html	https://www.homematic-ip.com/kontakt/datenschutz.html|https://www.homematic-ip.com/kontakt/datenschutz/datenschut-homematic-ip-smartphone-app.html
239	homemaxs	http://homemaxs.com/	None
240	homeseer	https://homeseer.com/	https://homeseer.com/privacy-policy/
241	homewizard	https://www.homewizard.com/	https://www.homewizard.com/privacy
242	homey	https://homey.app/en-us/	https://legal.athom.com/?document=privacy-policy&language=en
243	homismart	https://www.homismart.com/	None
244	honeywellhome	https://www.honeywellhome.com/	https://www.resideo.com/privacy
245	howz	https://howz.com/	https://howz.com/pages/howz-privacy-policy
246	hubbleconnected	https://hubbleconnected.com/	https://hubbleconnected.com/privacy
247	hubitat	https://hubitat.com/	https://hubitat.com/pages/privacy-policy
248	www2	https://www2.meethue.com/en-us	https://www2.meethue.com/en-us/support/privacy-policy
249	hydrawise	https://www.hydrawise.com/	http://www.hunterindustries.com/privacy-policy
250	hyperionsilverlake	https://www.hyperionsilverlake.com/smart-home	None
251	iaqualink	https://www.iaqualink.com/en	https://www.fluidrausa.com/en/legal
252	idevicesinc	https://idevicesinc.com/	https://idevicesinc.com/privacy/
253	ifbappliances	https://www.ifbappliances.com/	https://www.ifbappliances.com/privacy-policy/
254	ifttt	https://ifttt.com/	https://ifttt.com/terms
255	ihaper	https://www.ihaper.com/	None
256	ihas	https://ihas.com.au/	https://ihas.com.au/privacy-policy-1
257	ihomeaudio	https://www.ihomeaudio.com/	https://www.ihomeaudio.com/privacy_policy/
258	ikea	https://www.ikea.com/	https://about.ikea.com/en/IKEA-policies/IKEA-Gateway-cookie-statement
259	ilevia	http://www.ilevia.com/	http://www.ilevia.com/privacy-policy/
260	ilumi	https://ilumi.co/	https://ilumi.co/pages/privacy
261	imoulife	https://www.imoulife.com/	https://www.imoulife.com/product/detail/Ranger2
262	imperihome	https://imperihome.com/	https://imperihome.com/privacy/
263	iam	https://iam.innogy.com/ueber-innogy	https://www.innogy.com/web/cms/de/3068482/home/datenschutz/
264	insteon	https://www.insteon.com/	https://www.insteon.com/privacy
265	intesishome	https://www.intesishome.com/	https://www.intesis.com/down/intesis/privacy_policy.pdf
266	iobroker	https://www.iobroker.net/	https://www.iobroker.net/#en/privacy
267	iotiq	http://iotiq.co.in/	http://iotiq.co.in/privacypolicy.html
268	iottysmarthome	https://iottysmarthome.com/	https://iottysmarthome.com/policies/privacy-policy
269	irisbylowes	https://www.irisbylowes.com/	https://www.irisbylowes.com/privacy-statement/
270	irobot	https://www.irobot.com/	https://www.irobot.com/legal/privacy-policy
271	ismartalarm	https://www.ismartalarm.com/	https://www.ismartalarm.com/info/privacyinfo
272	ithingshop	https://ithingshop.com/smart-home/	https://ithingshop.com/privacy-policy/
273	ivideon	https://www.ivideon.com/	None
274	iviewus	http://www.iviewus.com/index.php/smart-devices-smart-bulbs-sockets-robot-vacuums-wears-accessories-mini-pc/home.html	http://www.iviewus.com/index.php/privacy-policy-cookie-restriction-mode-eng
275	izone	https://izone.com.au/	https://izone.com.au/legal/
276	byjasco	https://byjasco.com/	https://byjasco.com/privacy-policy/
277	jellyfishtur	http://www.jellyfishtur.com/	None
278	jinvoo-smart	https://jinvoo-smart.soft112.com/	https://www.soft112.com/policy.html
279	joeaispro	https://joeaispro.com/	None
280	nbkafo	http://www.nbkafo.com/	None
281	kaiterra	https://www.kaiterra.com/en/index/	https://support.kaiterra.com/privacy-policy-for-kaiterra-web-sites-global
282	kasiahome	http://www.kasiahome.com/	http://www.kasiahome.com/legal
283	kenmore	https://www.kenmore.com/	https://www.kenmore.com/privacy-policy/
284	ketra	https://www.ketra.com/	http://www.lutron.com/en-US/Pages/PrivacyNotice.aspx#start/home?Key=LutronPrivacyPolicy&p=2
285	thekeywe	http://thekeywe.com/	None
286	kitchenhoney	https://kitchenhoney.automationhome.net/	https://www.automationhome.net/privacy-policy.html
287	kiwi-smartek	http://www.kiwi-smartek.com/	None
288	kkmoon	https://www.kkmoon.com/	https://www.kkmoon.com/privacy-policy.html
289	klearusa	https://www.klearusa.com/products/klear-smart-plug	None
290	klikaanklikuit	https://www.klikaanklikuit.nl/	https://www.klikaanklikuit.nl/nl/privacy/
291	knocki	https://knocki.com/	https://knocki.com/pages/privacy-policy
292	kohler	https://www.us.kohler.com/us/	https://www.us.kohler.com/us/Privacy-Policy/content/privacypolicyen.htm
293	konnected	https://konnected.io/	https://konnected.io/pages/privacy-policy
294	koogeek	https://www.koogeek.com/	https://www.koogeek.com/privacy-policy.html
